Seq Accuracy: 4.3967547762365875, Loss: 4.1044989168643955
Seq Accuracy: 18.843234755299658, Loss: 3.743374440073967
Seq Accuracy: 28.68359068306726, Loss: 3.3737270683050156
Seq Accuracy: 35.906830672598794, Loss: 2.943204405903816
Seq Accuracy: 37.607956032452236, Loss: 2.797870959341526
Seq Accuracy: 37.94818110442293, Loss: 2.7720272913575172

Seq Accuracy: 0.8374771002355405, Loss: 4.32543435394764
Seq Accuracy: 2.8788275320596703, Loss: 4.179710254073143
Seq Accuracy: 22.50719706883015, Loss: 3.7443865180015563
Seq Accuracy: 34.33656110965716, Loss: 3.2858292296528817
Seq Accuracy: 40.9578644333944, Loss: 2.9970357209444045
Seq Accuracy: 44.62182674692489, Loss: 2.6624953627586363

Seq Accuracy: 1.0991886940591469, Loss: 4.313948291540146
Seq Accuracy: 2.826485213294949, Loss: 4.170425024628639
Seq Accuracy: 19.942423449358806, Loss: 3.7415536791086197
Seq Accuracy: 30.908139230567915, Loss: 3.3066891849040987
Seq Accuracy: 37.26773096048155, Loss: 3.0348704740405084
Seq Accuracy: 39.91101805809998, Loss: 2.770579705387354

Seq Accuracy: 5.129547238942685, Loss: 4.1594596892595295
Seq Accuracy: 21.879089243653493, Loss: 3.7203962236642836
Seq Accuracy: 34.93849777545145, Loss: 3.279941536486149
Seq Accuracy: 39.67547762365873, Loss: 2.9932956010103227

Seq Accuracy: 2.093692750588851, Loss: 4.2422800898551944
Seq Accuracy: 7.7990054959434705, Loss: 4.088602986931801
Seq Accuracy: 29.59958126144988, Loss: 3.6255609542131424
Seq Accuracy: 40.48678356451191, Loss: 3.174581854045391
Seq Accuracy: 44.90970950013086, Loss: 2.8737874887883663
Seq Accuracy: 46.19209630986653, Loss: 2.6855031080543994

Seq Accuracy: 3.533106516618686, Loss: 4.154959625005722
Seq Accuracy: 20.5443601151531, Loss: 3.757252448797226
Seq Accuracy: 31.719445171421093, Loss: 3.3340753689408302
Seq Accuracy: 37.843496466893484, Loss: 3.0523305550217628
Seq Accuracy: 39.43993718921748, Loss: 2.9079497784376143
Seq Accuracy: 39.570792986129284, Loss: 2.838039781153202
Seq Accuracy: 39.75399110180581, Loss: 2.765426752716303

Seq Accuracy: 2.8526563726773095, Loss: 4.219706058502197
Seq Accuracy: 6.385762889295996, Loss: 4.071143382787705
Seq Accuracy: 24.365349384977755, Loss: 3.6297227472066877
Seq Accuracy: 37.39858675739335, Loss: 3.176282875239849
Seq Accuracy: 44.1507458780424, Loss: 2.8685720801353454
Seq Accuracy: 46.820204135043184, Loss: 2.696970336139202
Seq Accuracy: 47.97173514786705, Loss: 2.536898345500231
Seq Accuracy: 48.28578906045538, Loss: 2.517085822671652

Seq Accuracy: 1.7534676786181629, Loss: 4.239791613817215
Seq Accuracy: 4.4752682543836695, Loss: 4.094483545422554
Seq Accuracy: 24.52237634127192, Loss: 3.6765928268432617
Seq Accuracy: 32.37372415598011, Loss: 3.2837240755558015
Seq Accuracy: 38.02669458257001, Loss: 3.0177535180002453

Seq Accuracy: 1.0468463752944255, Loss: 4.323791843652725
Seq Accuracy: 2.303062025647736, Loss: 4.170059317350388
Seq Accuracy: 22.297827793771265, Loss: 3.7554387539625167
Seq Accuracy: 34.51975922533368, Loss: 3.3223840206861497
Seq Accuracy: 41.219576027218004, Loss: 3.0385012581944464
Seq Accuracy: 44.62182674692489, Loss: 2.6871621809899806

Seq Accuracy: 5.600628107825177, Loss: 4.08018599152565
Seq Accuracy: 23.109133734624443, Loss: 3.694468253850937
Seq Accuracy: 35.64511907877519, Loss: 3.2571626916527747
Seq Accuracy: 39.544621826746926, Loss: 3.000316672027111
Seq Accuracy: 41.271918345982726, Loss: 2.82382510304451
Seq Accuracy: 42.78984559015964, Loss: 2.730604147911072
Seq Accuracy: 43.70583616854227, Loss: 2.6871820986270905
Seq Accuracy: 44.36011515310128, Loss: 2.6139924950897693

