Seq Accuracy: 11.341632088520056, Loss: 2.029952376119552
Seq Accuracy: 76.21023513139696, Loss: 1.231195507511016
Seq Accuracy: 79.04564315352697, Loss: 1.06813810717675

Seq Accuracy: 82.43430152143846, Loss: 1.0357769862298043

Seq Accuracy: 15.076071922544951, Loss: 1.9786437173043527
Seq Accuracy: 75.79529737206086, Loss: 1.1731476476115565

Seq Accuracy: 16.182572614107883, Loss: 1.9604777905248827
Seq Accuracy: 81.67358229598894, Loss: 1.0741844465655666

Seq Accuracy: 16.182572614107883, Loss: 1.9604777905248827
Seq Accuracy: 75.31120331950207, Loss: 1.1564317153346153

Seq Accuracy: 80.9820193637621, Loss: 1.1174725467158901

Seq Accuracy: 15.076071922544951, Loss: 1.9786437173043527
Seq Accuracy: 71.9225449515906, Loss: 1.2821739738987339
Seq Accuracy: 73.09820193637621, Loss: 1.1356686815138786

Seq Accuracy: 11.825726141078839, Loss: 2.0653055175658195
Seq Accuracy: 79.18395573997233, Loss: 1.0914205485774624

Seq Accuracy: 16.182572614107883, Loss: 1.9604777905248827
Seq Accuracy: 81.18948824343015, Loss: 1.0244192846359745

Seq Accuracy: 16.182572614107883, Loss: 1.9604777905248827
Seq Accuracy: 80.84370677731674, Loss: 1.054943165471477

