Seq Accuracy: 12.793914246196405, Loss: 1.9633992165327072
Seq Accuracy: 14.177040110650069, Loss: 1.9458117634057999

Seq Accuracy: 10.235131396957122, Loss: 1.9411493241786957
Seq Accuracy: 14.177040110650069, Loss: 1.941772848367691

Seq Accuracy: 11.549100968188105, Loss: 1.940770536661148
Seq Accuracy: 14.522821576763485, Loss: 1.9598944783210754

Seq Accuracy: 11.479944674965422, Loss: 1.9388674348592758

Seq Accuracy: 18.741355463347166, Loss: 1.9429666697978973

Seq Accuracy: 19.70954356846473, Loss: 1.9438456147909164

Seq Accuracy: 18.395573997233747, Loss: 1.942958876490593

Seq Accuracy: 19.847856154910097, Loss: 1.9441376030445099

Seq Accuracy: 19.571230982019365, Loss: 1.9452312886714935
Seq Accuracy: 14.177040110650069, Loss: 1.9527356624603271

Seq Accuracy: 10.857538035961273, Loss: 1.9406820386648178
Seq Accuracy: 14.177040110650069, Loss: 1.956985980272293

