Seq Accuracy: 1.7011253598534415, Loss: 4.273336961865425
Seq Accuracy: 2.4339178225595393, Loss: 4.215670910477638
Seq Accuracy: 2.9835121695891127, Loss: 4.183935797214508
Seq Accuracy: 3.8209892698246533, Loss: 4.153603410720825
Seq Accuracy: 4.684637529442554, Loss: 4.127290433645248
Seq Accuracy: 5.600628107825177, Loss: 4.100004902482032
Seq Accuracy: 8.139230567914158, Loss: 4.04936329126358
Seq Accuracy: 9.526302015179272, Loss: 4.024290078878403
Seq Accuracy: 11.724679403297566, Loss: 3.9999918937683105
Seq Accuracy: 13.451975922533368, Loss: 3.9770132690668105
Seq Accuracy: 16.199947657681236, Loss: 3.9325917452573775
Seq Accuracy: 17.351478670505102, Loss: 3.913990181684494
Seq Accuracy: 18.47683852394661, Loss: 3.8928906351327894
Seq Accuracy: 19.6807118555352, Loss: 3.8753186583518984
Seq Accuracy: 20.675215912064903, Loss: 3.857560560107231
Seq Accuracy: 21.800575765506412, Loss: 3.8406051635742187
Seq Accuracy: 22.768908662653754, Loss: 3.8236555725336077
Seq Accuracy: 23.684899241036376, Loss: 3.8079695224761965
Seq Accuracy: 24.679403297566083, Loss: 3.79339260160923
Seq Accuracy: 25.77859199162523, Loss: 3.778768914937973
Seq Accuracy: 26.354357498037164, Loss: 3.76437726020813
Seq Accuracy: 27.03480764197854, Loss: 3.7512590914964674
Seq Accuracy: 27.84611358283172, Loss: 3.7373975038528444
Seq Accuracy: 28.526563726773094, Loss: 3.7254977881908418
Seq Accuracy: 29.259356189479195, Loss: 3.713695991039276
Seq Accuracy: 29.573410102067523, Loss: 3.702831172943115
Seq Accuracy: 29.86129285527349, Loss: 3.691332906484604
Seq Accuracy: 30.489400680450142, Loss: 3.682481351494789
Seq Accuracy: 30.72494111489139, Loss: 3.6732677787542345
Seq Accuracy: 31.667102852656374, Loss: 3.656873193383217
Seq Accuracy: 32.26903951845067, Loss: 3.6365377962589265
Seq Accuracy: 32.47840879350955, Loss: 3.630127826333046
Seq Accuracy: 33.10651661868621, Loss: 3.6162119925022127
Seq Accuracy: 33.36822821250981, Loss: 3.6122946947813035
Seq Accuracy: 33.499084009421615, Loss: 3.609209379553795

Seq Accuracy: 1.4917560847945563, Loss: 4.267468985915184
Seq Accuracy: 2.8526563726773095, Loss: 4.1725306391716
Seq Accuracy: 3.768646951059932, Loss: 4.141243866086006
Seq Accuracy: 5.0248626014132425, Loss: 4.110924378037453
Seq Accuracy: 6.097880136090029, Loss: 4.082969126105309
Seq Accuracy: 7.327924627060979, Loss: 4.054766434431076
Seq Accuracy: 8.66265375556137, Loss: 4.0284376591444016
Seq Accuracy: 9.657157812091075, Loss: 4.001796716451645
Seq Accuracy: 10.965715781209108, Loss: 3.9754286617040635
Seq Accuracy: 12.195760272180058, Loss: 3.951138046383858
Seq Accuracy: 13.792200994504057, Loss: 3.9279236048460007
Seq Accuracy: 15.493326354357498, Loss: 3.905165213346481
Seq Accuracy: 17.351478670505102, Loss: 3.885218176245689
Seq Accuracy: 18.37215388641717, Loss: 3.865244263410568
Seq Accuracy: 19.419000261711595, Loss: 3.844673776626587
Seq Accuracy: 20.334990840094218, Loss: 3.8268542766571043
Seq Accuracy: 22.690395184506674, Loss: 3.789590761065483
Seq Accuracy: 23.42318764721277, Loss: 3.7730668067932127
Seq Accuracy: 24.705574456948444, Loss: 3.7578115493059157
Seq Accuracy: 25.595393875948705, Loss: 3.742839002609253
Seq Accuracy: 26.53755561371369, Loss: 3.728353887796402
Seq Accuracy: 27.610573148390472, Loss: 3.7149135380983354
Seq Accuracy: 28.343365611096573, Loss: 3.7007768601179123
Seq Accuracy: 29.18084271133211, Loss: 3.6885376453399656
Seq Accuracy: 29.887464014655848, Loss: 3.67682489156723
Seq Accuracy: 30.986652708714995, Loss: 3.665656366944313
Seq Accuracy: 31.457733577597487, Loss: 3.653843265771866
Seq Accuracy: 32.138183721538866, Loss: 3.6446891099214556
Seq Accuracy: 32.687778068568434, Loss: 3.6350637853145598
Seq Accuracy: 33.15885893745093, Loss: 3.6260620921850206
Seq Accuracy: 33.865480240774666, Loss: 3.610927093029022
